age,workclass,education_num,marital_status,occupation,race,sex,native_country,income
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
17~19,Self-emp-not-inc~Private,3~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,United-States,<=50K
