index,age,workclass,education,marital_status,occupation,sex,income
0,"[20, 40[",State-gov,Undergraduate,Never-married,Other,Male,<=50K
1,"[40, 60[",Self-emp-not-inc,Undergraduate,Married-civ-spouse,Nontechnical,Male,<=50K
2,"[20, 40[",Private,High School,Divorced,Nontechnical,Male,<=50K
3,"[40, 60[",Private,High School,Married-civ-spouse,Nontechnical,Male,<=50K
4,"[20, 40[",Private,Undergraduate,Married-civ-spouse,Technical,Female,<=50K
5,*,*,*,*,*,*,<=50K
6,*,*,*,*,*,*,<=50K
7,"[40, 60[",Self-emp-not-inc,High School,Married-civ-spouse,Nontechnical,Male,>50K
8,"[20, 40[",Private,Graduate,Never-married,Technical,Female,>50K
9,"[40, 60[",Private,Undergraduate,Married-civ-spouse,Nontechnical,Male,>50K
10,"[20, 40[",Private,Undergraduate,Married-civ-spouse,Nontechnical,Male,>50K
11,"[20, 40[",State-gov,Undergraduate,Married-civ-spouse,Technical,Male,>50K
12,"[20, 40[",Private,Undergraduate,Never-married,Other,Female,<=50K
13,"[20, 40[",Private,Professional Education,Never-married,Nontechnical,Male,<=50K
14,"[40, 60[",Private,Professional Education,Married-civ-spouse,Technical,Male,>50K
15,"[20, 40[",Private,High School,Married-civ-spouse,Other,Male,<=50K
16,"[20, 40[",Self-emp-not-inc,High School,Never-married,Other,Male,<=50K
17,"[20, 40[",Private,High School,Never-married,Technical,Male,<=50K
18,"[20, 40[",Private,High School,Married-civ-spouse,Nontechnical,Male,<=50K
19,*,*,*,*,*,*,>50K
20,"[40, 60[",Private,Graduate,Married-civ-spouse,Technical,Male,>50K
21,"[40, 60[",Private,High School,Separated,Other,Female,<=50K
22,"[20, 40[",Federal-gov,High School,Married-civ-spouse,Other,Male,<=50K
23,"[40, 60[",Private,High School,Married-civ-spouse,Other,Male,<=50K
24,"[40, 60[",Private,High School,Divorced,Technical,Female,<=50K
25,"[40, 60[",Local-gov,Undergraduate,Married-civ-spouse,Technical,Male,>50K
26,"[0, 20[",Private,High School,Never-married,Technical,Male,<=50K
27,"[20, 40[",Private,High School,Divorced,Nontechnical,Male,<=50K
28,"[40, 60[",Private,High School,Married-civ-spouse,Technical,Male,<=50K
29,*,*,*,*,*,*,<=50K
30,"[20, 40[",Private,Undergraduate,Never-married,Nontechnical,Male,<=50K
31,"[40, 60[",Private,Undergraduate,Divorced,Nontechnical,Male,<=50K
32,"[20, 40[",Federal-gov,Undergraduate,Married-civ-spouse,Other,Male,<=50K
33,"[20, 40[",State-gov,Undergraduate,Married-civ-spouse,Other,Male,<=50K
34,"[40, 60[",Private,High School,Never-married,Technical,Male,<=50K
35,"[20, 40[",Private,Undergraduate,Never-married,Technical,Male,<=50K
36,*,*,*,*,*,*,<=50K
37,"[20, 40[",Private,Undergraduate,Married-civ-spouse,Nontechnical,Male,>50K
38,"[40, 60[",Self-emp-not-inc,Professional Education,Married-civ-spouse,Technical,Male,<=50K
39,"[20, 40[",Private,High School,Married-civ-spouse,Technical,Male,<=50K
40,"[40, 60[",Self-emp-not-inc,Undergraduate,Married-civ-spouse,Technical,Male,<=50K
41,"[20, 40[",Private,Undergraduate,Married-civ-spouse,Technical,Male,<=50K
42,"[40, 60[",Private,High School,Separated,Other,Female,<=50K
43,"[20, 40[",Private,High School,Never-married,Nontechnical,Male,<=50K
44,"[40, 60[",Federal-gov,Undergraduate,Married-civ-spouse,Technical,Male,>50K
45,"[40, 60[",Private,High School,Married-civ-spouse,Technical,Male,<=50K
46,"[40, 60[",Private,Graduate,Divorced,Nontechnical,Female,<=50K
47,"[40, 60[",State-gov,Professional Education,Married-civ-spouse,Technical,Male,<=50K
48,"[20, 40[",Private,Professional Education,Never-married,Technical,Male,<=50K
49,"[20, 40[",Private,Undergraduate,Married-civ-spouse,Nontechnical,Female,<=50K
50,"[0, 20[",Private,High School,Never-married,Other,Female,<=50K
51,*,*,*,*,*,*,>50K
52,*,*,*,*,*,*,>50K
53,*,*,*,*,*,*,<=50K
