index,age,workclass,education,marital_status,occupation,sex,income
0,"[0, 80[",*,Higher education,Spouse not present,Other,Male,<=50K
1,"[0, 80[",*,Higher education,Spouse present,Nontechnical,Male,<=50K
2,*,*,*,*,*,*,<=50K
3,"[0, 80[",*,Secondary education,Spouse present,Nontechnical,Male,<=50K
4,*,*,*,*,*,*,<=50K
5,*,*,*,*,*,*,<=50K
6,"[0, 80[",*,Secondary education,Spouse not present,Other,Female,<=50K
7,"[0, 80[",*,Secondary education,Spouse present,Nontechnical,Male,>50K
8,"[0, 80[",*,Higher education,Spouse not present,Technical,Female,>50K
9,"[0, 80[",*,Higher education,Spouse present,Nontechnical,Male,>50K
10,"[0, 80[",*,Higher education,Spouse present,Nontechnical,Male,>50K
11,"[0, 80[",*,Higher education,Spouse present,Technical,Male,>50K
12,"[0, 80[",*,Higher education,Spouse not present,Other,Female,<=50K
13,"[0, 80[",*,Higher education,Spouse not present,Nontechnical,Male,<=50K
14,"[0, 80[",*,Higher education,Spouse present,Technical,Male,>50K
15,"[0, 80[",*,Secondary education,Spouse present,Other,Male,<=50K
16,"[0, 80[",*,Secondary education,Spouse not present,Other,Male,<=50K
17,"[0, 80[",*,Secondary education,Spouse not present,Technical,Male,<=50K
18,"[0, 80[",*,Secondary education,Spouse present,Nontechnical,Male,<=50K
19,"[0, 80[",*,Higher education,Spouse not present,Nontechnical,Female,>50K
20,"[0, 80[",*,Higher education,Spouse present,Technical,Male,>50K
21,"[0, 80[",*,Secondary education,Spouse not present,Other,Female,<=50K
22,"[0, 80[",*,Secondary education,Spouse present,Other,Male,<=50K
23,"[0, 80[",*,Secondary education,Spouse present,Other,Male,<=50K
24,*,*,*,*,*,*,<=50K
25,"[0, 80[",*,Higher education,Spouse present,Technical,Male,>50K
26,"[0, 80[",*,Secondary education,Spouse not present,Technical,Male,<=50K
27,*,*,*,*,*,*,<=50K
28,"[0, 80[",*,Secondary education,Spouse present,Technical,Male,<=50K
29,"[0, 80[",*,Higher education,Spouse not present,Other,Male,<=50K
30,"[0, 80[",*,Higher education,Spouse not present,Nontechnical,Male,<=50K
31,"[0, 80[",*,Higher education,Spouse not present,Nontechnical,Male,<=50K
32,"[0, 80[",*,Higher education,Spouse present,Other,Male,<=50K
33,"[0, 80[",*,Higher education,Spouse present,Other,Male,<=50K
34,"[0, 80[",*,Secondary education,Spouse not present,Technical,Male,<=50K
35,"[0, 80[",*,Higher education,Spouse not present,Technical,Male,<=50K
36,*,*,*,*,*,*,<=50K
37,"[0, 80[",*,Higher education,Spouse present,Nontechnical,Male,>50K
38,"[0, 80[",*,Higher education,Spouse present,Technical,Male,<=50K
39,"[0, 80[",*,Secondary education,Spouse present,Technical,Male,<=50K
40,"[0, 80[",*,Higher education,Spouse present,Technical,Male,<=50K
41,"[0, 80[",*,Higher education,Spouse present,Technical,Male,<=50K
42,"[0, 80[",*,Secondary education,Spouse not present,Other,Female,<=50K
43,*,*,*,*,*,*,<=50K
44,"[0, 80[",*,Higher education,Spouse present,Technical,Male,>50K
45,"[0, 80[",*,Secondary education,Spouse present,Technical,Male,<=50K
46,"[0, 80[",*,Higher education,Spouse not present,Nontechnical,Female,<=50K
47,"[0, 80[",*,Higher education,Spouse present,Technical,Male,<=50K
48,"[0, 80[",*,Higher education,Spouse not present,Technical,Male,<=50K
49,*,*,*,*,*,*,<=50K
50,"[0, 80[",*,Secondary education,Spouse not present,Other,Female,<=50K
51,*,*,*,*,*,*,>50K
52,"[0, 80[",*,Higher education,Spouse not present,Nontechnical,Male,>50K
53,*,*,*,*,*,*,<=50K
