index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
0,"[20, 40[",State-gov,*,Undergraduate,13,Never-married,Other, Not-in-family,White,Male,2174,0,40,North America, <=50K
1,"[40, 60[",Self-emp-not-inc,*,Undergraduate,13,Married-civ-spouse,Nontechnical, Husband,White,Male,0,0,13,North America, <=50K
2,"[20, 40[",Private,*,High School,9,Divorced,Nontechnical, Not-in-family,White,Male,0,0,40,North America, <=50K
3,"[40, 60[",Private,*,High School,7,Married-civ-spouse,Nontechnical, Husband,Black,Male,0,0,40,North America, <=50K
7,"[40, 60[",Self-emp-not-inc,*,High School,9,Married-civ-spouse,Nontechnical, Husband,White,Male,0,0,45,North America, >50K
8,"[20, 40[",Private,*,Graduate,14,Never-married,Technical, Not-in-family,White,Female,14084,0,50,North America, >50K
9,"[40, 60[",Private,*,Undergraduate,13,Married-civ-spouse,Nontechnical, Husband,White,Male,5178,0,40,North America, >50K
10,"[20, 40[",Private,*,Undergraduate,10,Married-civ-spouse,Nontechnical, Husband,Black,Male,0,0,80,North America, >50K
11,"[20, 40[",State-gov,*,Undergraduate,13,Married-civ-spouse,Technical, Husband,Asian-Pac-Islander,Male,0,0,40,Asia, >50K
12,"[20, 40[",Private,*,Undergraduate,13,Never-married,Other, Own-child,White,Female,0,0,30,North America, <=50K
16,"[20, 40[",Self-emp-not-inc,*,High School,9,Never-married,Other, Own-child,White,Male,0,0,35,North America, <=50K
17,"[20, 40[",Private,*,High School,9,Never-married,Technical, Unmarried,White,Male,0,0,40,North America, <=50K
18,"[20, 40[",Private,*,High School,7,Married-civ-spouse,Nontechnical, Husband,White,Male,0,0,50,North America, <=50K
19,"[40, 60[",Self-emp-not-inc,*,Graduate,14,Divorced,Nontechnical, Unmarried,White,Female,0,0,45,North America, >50K
20,"[40, 60[",Private,*,Graduate,16,Married-civ-spouse,Technical, Husband,White,Male,0,0,60,North America, >50K
21,"[40, 60[",Private,*,High School,9,Separated,Other, Unmarried,Black,Female,0,0,20,North America, <=50K
22,"[20, 40[",Federal-gov,*,High School,5,Married-civ-spouse,Other, Husband,Black,Male,0,0,40,North America, <=50K
23,"[40, 60[",Private,*,High School,7,Married-civ-spouse,Other, Husband,White,Male,0,2042,40,North America, <=50K
24,"[40, 60[",Private,*,High School,9,Divorced,Technical, Unmarried,White,Female,0,0,40,North America, <=50K
25,"[40, 60[",Local-gov,*,Undergraduate,13,Married-civ-spouse,Technical, Husband,White,Male,0,0,40,North America, >50K
26,"[0, 20[",Private,*,High School,9,Never-married,Technical, Own-child,White,Male,0,0,40,North America, <=50K
28,"[20, 40[",Private,*,High School,9,Divorced,Nontechnical, Not-in-family,White,Male,0,0,80,North America, <=50K
29,"[40, 60[",Private,*,High School,9,Married-civ-spouse,Technical, Husband,White,Male,0,0,40,North America, <=50K
30,"[20, 40[",Local-gov,*,Professional Education,12,Never-married,Other, Not-in-family,White,Male,0,0,52,North America, <=50K
31,"[20, 40[",Private,*,Undergraduate,10,Never-married,Nontechnical, Own-child,Black,Male,0,0,44,North America, <=50K
32,"[40, 60[",Private,*,Undergraduate,13,Divorced,Nontechnical, Own-child,White,Male,0,1408,40,North America, <=50K
33,"[20, 40[",Federal-gov,*,Undergraduate,10,Married-civ-spouse,Other, Own-child,White,Male,0,0,40,North America, <=50K
34,"[20, 40[",State-gov,*,Undergraduate,10,Married-civ-spouse,Other, Husband,Black,Male,0,0,15,North America, <=50K
35,"[40, 60[",Private,*,High School,7,Never-married,Technical, Unmarried,White,Male,0,0,40,North America, <=50K
36,"[20, 40[",Private,*,Undergraduate,10,Never-married,Technical, Own-child,White,Male,0,0,40,North America, <=50K
39,"[40, 60[",Self-emp-not-inc,*,Professional Education,12,Married-civ-spouse,Technical, Husband,White,Male,0,0,40,North America, <=50K
40,"[20, 40[",Private,*,High School,5,Married-civ-spouse,Technical, Husband,White,Male,0,0,43,North America, <=50K
41,"[40, 60[",Self-emp-not-inc,*,Undergraduate,13,Married-civ-spouse,Technical, Husband,White,Male,0,0,40,North America, <=50K
42,"[20, 40[",Private,*,Undergraduate,13,Married-civ-spouse,Technical, Husband,White,Male,0,0,50,North America, <=50K
43,"[40, 60[",Private,*,High School,9,Separated,Other, Unmarried,White,Female,0,0,40,North America, <=50K
44,"[20, 40[",Private,*,High School,9,Never-married,Nontechnical, Not-in-family,White,Male,0,0,35,North America, <=50K
45,"[40, 60[",Federal-gov,*,Undergraduate,13,Married-civ-spouse,Technical, Husband,Black,Male,0,0,40,North America, >50K
46,"[40, 60[",Private,*,High School,9,Married-civ-spouse,Technical, Husband,White,Male,0,0,38,North America, <=50K
47,"[40, 60[",Private,*,Graduate,14,Divorced,Nontechnical, Unmarried,White,Female,0,0,40,North America, <=50K
48,"[40, 60[",State-gov,*,Professional Education,11,Married-civ-spouse,Technical, Husband,White,Male,0,0,40,North America, <=50K
49,"[20, 40[",Private,*,Professional Education,11,Never-married,Technical, Not-in-family,White,Male,0,0,43,North America, <=50K
52,"[40, 60[",Private,*,Professional Education,15,Married-civ-spouse,Technical, Wife,White,Female,0,1902,60,North America, >50K
53,"[40, 60[",Federal-gov,*,Undergraduate,13,Divorced,Nontechnical, Not-in-family,White,Male,0,0,55,North America, >50K
54,"[40, 60[",Self-emp-inc,*,High School,9,Divorced,Nontechnical, Not-in-family,White,Male,0,0,60,North America, <=50K
55,"[40, 60[",Private,*,Undergraduate,10,Married-civ-spouse,Technical, Husband,White,Male,0,0,40,North America, >50K
56,"[40, 60[",Private,*,Primary School,3,Married-civ-spouse,Technical, Husband,White,Male,0,0,40,North America, <=50K
