index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
0,"[0, 40[",State-gov,*,Higher education,13,Spouse not present,Other, Not-in-family,*,Male,2174,0,40,*, <=50K
1,"[40, 80[",Self-emp-not-inc,*,Higher education,13,Spouse present,Nontechnical, Husband,*,Male,0,0,13,*, <=50K
2,"[0, 40[",Private,*,Secondary education,9,Spouse not present,Nontechnical, Not-in-family,*,Male,0,0,40,*, <=50K
3,"[40, 80[",Private,*,Secondary education,7,Spouse present,Nontechnical, Husband,*,Male,0,0,40,*, <=50K
6,"[40, 80[",Private,*,Secondary education,5,Spouse not present,Other, Not-in-family,*,Female,0,0,16,*, <=50K
7,"[40, 80[",Self-emp-not-inc,*,Secondary education,9,Spouse present,Nontechnical, Husband,*,Male,0,0,45,*, >50K
8,"[0, 40[",Private,*,Higher education,14,Spouse not present,Technical, Not-in-family,*,Female,14084,0,50,*, >50K
9,"[40, 80[",Private,*,Higher education,13,Spouse present,Nontechnical, Husband,*,Male,5178,0,40,*, >50K
10,"[0, 40[",Private,*,Higher education,10,Spouse present,Nontechnical, Husband,*,Male,0,0,80,*, >50K
11,"[0, 40[",State-gov,*,Higher education,13,Spouse present,Technical, Husband,*,Male,0,0,40,*, >50K
12,"[0, 40[",Private,*,Higher education,13,Spouse not present,Other, Own-child,*,Female,0,0,30,*, <=50K
13,"[0, 40[",Private,*,Higher education,12,Spouse not present,Nontechnical, Not-in-family,*,Male,0,0,50,*, <=50K
14,"[40, 80[",Private,*,Higher education,11,Spouse present,Technical, Husband,*,Male,0,0,40,*, >50K
15,"[0, 40[",Private,*,Secondary education,4,Spouse present,Other, Husband,*,Male,0,0,45,*, <=50K
16,"[0, 40[",Self-emp-not-inc,*,Secondary education,9,Spouse not present,Other, Own-child,*,Male,0,0,35,*, <=50K
17,"[0, 40[",Private,*,Secondary education,9,Spouse not present,Technical, Unmarried,*,Male,0,0,40,*, <=50K
18,"[0, 40[",Private,*,Secondary education,7,Spouse present,Nontechnical, Husband,*,Male,0,0,50,*, <=50K
19,"[40, 80[",Self-emp-not-inc,*,Higher education,14,Spouse not present,Nontechnical, Unmarried,*,Female,0,0,45,*, >50K
20,"[40, 80[",Private,*,Higher education,16,Spouse present,Technical, Husband,*,Male,0,0,60,*, >50K
21,"[40, 80[",Private,*,Secondary education,9,Spouse not present,Other, Unmarried,*,Female,0,0,20,*, <=50K
22,"[0, 40[",Federal-gov,*,Secondary education,5,Spouse present,Other, Husband,*,Male,0,0,40,*, <=50K
23,"[40, 80[",Private,*,Secondary education,7,Spouse present,Other, Husband,*,Male,0,2042,40,*, <=50K
24,"[40, 80[",Private,*,Secondary education,9,Spouse not present,Technical, Unmarried,*,Female,0,0,40,*, <=50K
25,"[40, 80[",Local-gov,*,Higher education,13,Spouse present,Technical, Husband,*,Male,0,0,40,*, >50K
26,"[0, 40[",Private,*,Secondary education,9,Spouse not present,Technical, Own-child,*,Male,0,0,40,*, <=50K
27,"[40, 80[",?,*,Higher education,10,Spouse present,Other, Husband,*,Male,0,0,60,*, >50K
28,"[0, 40[",Private,*,Secondary education,9,Spouse not present,Nontechnical, Not-in-family,*,Male,0,0,80,*, <=50K
29,"[40, 80[",Private,*,Secondary education,9,Spouse present,Technical, Husband,*,Male,0,0,40,*, <=50K
30,"[0, 40[",Local-gov,*,Higher education,12,Spouse not present,Other, Not-in-family,*,Male,0,0,52,*, <=50K
31,"[0, 40[",Private,*,Higher education,10,Spouse not present,Nontechnical, Own-child,*,Male,0,0,44,*, <=50K
32,"[40, 80[",Private,*,Higher education,13,Spouse not present,Nontechnical, Own-child,*,Male,0,1408,40,*, <=50K
33,"[0, 40[",Federal-gov,*,Higher education,10,Spouse present,Other, Own-child,*,Male,0,0,40,*, <=50K
34,"[0, 40[",State-gov,*,Higher education,10,Spouse present,Other, Husband,*,Male,0,0,15,*, <=50K
35,"[40, 80[",Private,*,Secondary education,7,Spouse not present,Technical, Unmarried,*,Male,0,0,40,*, <=50K
36,"[0, 40[",Private,*,Higher education,10,Spouse not present,Technical, Own-child,*,Male,0,0,40,*, <=50K
38,"[0, 40[",Private,*,Higher education,10,Spouse present,Nontechnical, Husband,*,Male,0,0,38,*, >50K
39,"[40, 80[",Self-emp-not-inc,*,Higher education,12,Spouse present,Technical, Husband,*,Male,0,0,40,*, <=50K
40,"[0, 40[",Private,*,Secondary education,5,Spouse present,Technical, Husband,*,Male,0,0,43,*, <=50K
41,"[40, 80[",Self-emp-not-inc,*,Higher education,13,Spouse present,Technical, Husband,*,Male,0,0,40,*, <=50K
42,"[0, 40[",Private,*,Higher education,13,Spouse present,Technical, Husband,*,Male,0,0,50,*, <=50K
43,"[40, 80[",Private,*,Secondary education,9,Spouse not present,Other, Unmarried,*,Female,0,0,40,*, <=50K
44,"[0, 40[",Private,*,Secondary education,9,Spouse not present,Nontechnical, Not-in-family,*,Male,0,0,35,*, <=50K
45,"[40, 80[",Federal-gov,*,Higher education,13,Spouse present,Technical, Husband,*,Male,0,0,40,*, >50K
46,"[40, 80[",Private,*,Secondary education,9,Spouse present,Technical, Husband,*,Male,0,0,38,*, <=50K
47,"[40, 80[",Private,*,Higher education,14,Spouse not present,Nontechnical, Unmarried,*,Female,0,0,40,*, <=50K
48,"[40, 80[",State-gov,*,Higher education,11,Spouse present,Technical, Husband,*,Male,0,0,40,*, <=50K
49,"[0, 40[",Private,*,Higher education,11,Spouse not present,Technical, Not-in-family,*,Male,0,0,43,*, <=50K
51,"[0, 40[",Private,*,Secondary education,9,Spouse not present,Other, Own-child,*,Female,0,0,30,*, <=50K
53,"[40, 80[",Federal-gov,*,Higher education,13,Spouse not present,Nontechnical, Not-in-family,*,Male,0,0,55,*, >50K
55,"[40, 80[",Private,*,Higher education,10,Spouse present,Technical, Husband,*,Male,0,0,40,*, >50K
57,"[0, 40[",Private,*,Higher education,11,Spouse present,Other, Husband,*,Male,0,0,40,*, <=50K
58,"[40, 80[",Private,*,Secondary education,9,Spouse present,Other, Husband,*,Male,0,0,48,*, <=50K
