age,workclass,education_num,marital_status,occupation,race,sex,native_country,income
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
17,Private,"5,7",Never-married,*,White,Female,*,<=50K
