age,workclass,education_num,marital_status,occupation,race,sex,native_country,income
"18,20",Private,"9,10",Never-married,Tech-support,White,Female,*,<=50K
"18,20",Private,"9,10",Never-married,Tech-support,White,Female,*,<=50K
"18,20",Private,"9,10",Never-married,Tech-support,White,Female,*,<=50K
"18,20",Private,"9,10",Never-married,Tech-support,White,Female,*,<=50K
"18,20",Private,"9,10",Never-married,Tech-support,White,Female,*,<=50K
"18,20",Private,"9,10",Never-married,Tech-support,White,Female,*,<=50K
"18,20",Private,"9,10",Never-married,Tech-support,White,Female,*,<=50K
"18,20",Private,"9,10",Never-married,Tech-support,White,Female,*,<=50K
"18,20",Private,"9,10",Never-married,Tech-support,White,Female,*,<=50K
"18,20",Private,"9,10",Never-married,Tech-support,White,Female,*,<=50K
21,Private,"7,10",Never-married,Tech-support,White,Female,*,<=50K
21,Private,"7,10",Never-married,Tech-support,White,Female,*,<=50K
21,Private,"7,10",Never-married,Tech-support,White,Female,*,<=50K
21,Private,"7,10",Never-married,Tech-support,White,Female,*,<=50K
21,Private,"7,10",Never-married,Tech-support,White,Female,*,<=50K
22,Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
22,Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
22,Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
22,Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
22,Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
22,Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
22,Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
22,Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
22,Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
23,Private,9,Never-married,Tech-support,White,Female,United-States,<=50K
23,Private,9,Never-married,Tech-support,White,Female,United-States,<=50K
23,Private,10,Never-married,Tech-support,White,Female,United-States,<=50K
23,Private,10,Never-married,Tech-support,White,Female,United-States,<=50K
23,Private,10,Never-married,Tech-support,White,Female,United-States,<=50K
"24,25",Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
"24,25",Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
"24,25",Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
"24,25",Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
"24,25",Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
"24,25",Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
"24,25",Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
"24,25",Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
"24,25",Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
"24,25",Private,"9,10",Never-married,Tech-support,*,Female,United-States,<=50K
26,Private,10,Never-married,Tech-support,White,Female,United-States,<=50K
26,Private,10,Never-married,Tech-support,White,Female,United-States,<=50K
27,Private,10,Never-married,Tech-support,White,Female,United-States,<=50K
27,Private,10,Never-married,Tech-support,White,Female,United-States,<=50K
28,Private,10,Never-married,Tech-support,White,Female,United-States,<=50K
28,Private,10,Never-married,Tech-support,White,Female,United-States,<=50K
29,Private,10,Never-married,Tech-support,White,Female,United-States,<=50K
29,Private,10,Never-married,Tech-support,White,Female,United-States,<=50K
30,Private,"9,10",Never-married,Tech-support,White,Female,United-States,<=50K
30,Private,"9,10",Never-married,Tech-support,White,Female,United-States,<=50K
30,Private,"9,10",Never-married,Tech-support,White,Female,United-States,<=50K
