index,age,balance,education,job,marital,month,previous,y
0,"[40,80[",*,education,employed,married,*,"[0,20[",no
1,"[40,80[",*,education,employed,single,*,"[0,20[",no
2,"[0,40[",*,education,not-employed,married,*,"[0,20[",no
3,*,*,*,*,*,*,*,no
4,*,*,*,*,*,*,*,no
5,"[0,40[",*,education,employed,married,*,"[0,20[",no
6,"[0,40[",*,education,employed,single,*,"[0,20[",no
7,*,*,*,*,*,*,*,no
8,"[40,80[",*,education,not-employed,married,*,"[0,20[",no
9,"[40,80[",*,education,employed,single,*,"[0,20[",no
10,"[40,80[",*,education,employed,divorced,*,"[0,20[",no
11,"[0,40[",*,education,employed,single,*,"[0,20[",no
12,"[40,80[",*,education,employed,married,*,"[0,20[",no
13,*,*,*,*,*,*,*,no
14,"[40,80[",*,education,employed,married,*,"[0,20[",no
15,"[40,80[",*,education,not-employed,married,*,"[0,20[",no
16,*,*,*,*,*,*,*,no
17,"[40,80[",*,education,employed,married,*,"[0,20[",no
18,"[40,80[",*,education,not-employed,married,*,"[0,20[",no
19,"[0,40[",*,education,employed,married,*,"[0,20[",no
20,"[0,40[",*,education,employed,married,*,"[0,20[",no
21,"[40,80[",*,education,employed,married,*,"[0,20[",no
22,"[0,40[",*,education,employed,single,*,"[0,20[",no
23,"[0,40[",*,education,employed,married,*,"[0,20[",no
24,"[40,80[",*,education,not-employed,married,*,"[0,20[",no
25,"[40,80[",*,education,employed,married,*,"[0,20[",no
26,"[0,40[",*,education,employed,single,*,"[0,20[",no
27,"[40,80[",*,education,not-employed,married,*,"[0,20[",no
28,"[40,80[",*,education,employed,single,*,"[0,20[",no
29,"[0,40[",*,education,employed,single,*,"[0,20[",no
30,"[40,80[",*,education,employed,married,*,"[0,20[",no
31,"[40,80[",*,education,employed,married,*,"[0,20[",no
32,"[40,80[",*,education,employed,married,*,"[0,20[",no
33,"[40,80[",*,education,employed,married,*,"[0,20[",no
34,"[40,80[",*,education,employed,married,*,"[0,20[",no
35,"[40,80[",*,education,employed,divorced,*,"[0,20[",no
36,"[0,40[",*,education,employed,married,*,"[0,20[",no
37,"[40,80[",*,education,employed,married,*,"[0,20[",no
38,"[0,40[",*,education,employed,divorced,*,"[0,20[",no
39,"[0,40[",*,education,employed,single,*,"[0,20[",no
40,"[40,80[",*,education,employed,divorced,*,"[0,20[",no
41,"[40,80[",*,education,employed,married,*,"[0,20[",no
42,*,*,*,*,*,*,*,no
43,"[40,80[",*,education,not-employed,married,*,"[0,20[",no
44,*,*,*,*,*,*,*,no
45,"[0,40[",*,education,employed,single,*,"[0,20[",no
46,"[40,80[",*,education,not-employed,married,*,"[0,20[",no
47,"[40,80[",*,education,employed,married,*,"[0,20[",no
48,"[40,80[",*,education,employed,divorced,*,"[0,20[",no
49,"[0,40[",*,education,employed,single,*,"[0,20[",no
50,"[40,80[",*,education,employed,married,*,"[0,20[",no
51,"[40,80[",*,education,employed,divorced,*,"[0,20[",no
52,"[0,40[",*,education,employed,married,*,"[0,20[",no
53,"[40,80[",*,education,employed,single,*,"[0,20[",no
