index,age,balance,education,job,marital,month,previous,y
0,"[50,60[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
1,"[40,50[","[0,10000[",secondary,skilled-labor,single,spring,"[0,10[",no
2,"[30,40[","[0,10000[",secondary,self-directed,married,spring,"[0,10[",no
3,"[40,50[","[0,10000[",unknown,skilled-labor,married,spring,"[0,10[",no
4,*,*,*,*,*,*,*,no
5,"[30,40[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
6,"[20,30[","[0,10000[",tertiary,white-collar,single,spring,"[0,10[",no
7,*,*,*,*,*,*,*,no
8,"[50,60[","[0,10000[",primary,out-of-work,married,spring,"[0,10[",no
9,"[40,50[","[0,10000[",secondary,skilled-labor,single,spring,"[0,10[",no
10,"[40,50[","[0,10000[",secondary,white-collar,divorced,spring,"[0,10[",no
11,"[20,30[","[0,10000[",secondary,white-collar,single,spring,"[0,10[",no
12,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
13,"[50,60[","[0,10000[",unknown,skilled-labor,married,spring,"[0,10[",no
14,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
15,"[50,60[","[0,10000[",primary,out-of-work,married,spring,"[0,10[",no
16,*,*,*,*,*,*,*,no
17,"[50,60[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
18,"[60,70[","[0,10000[",primary,out-of-work,married,spring,"[0,10[",no
19,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
20,"[20,30[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
21,"[50,60[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
22,"[30,40[","[0,10000[",primary,skilled-labor,single,spring,"[0,10[",no
23,"[20,30[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
24,*,*,*,*,*,*,*,no
25,"[40,50[",<0,secondary,white-collar,married,spring,"[0,10[",no
26,"[30,40[","[0,10000[",tertiary,white-collar,single,spring,"[0,10[",no
27,"[50,60[","[0,10000[",secondary,self-directed,married,spring,"[0,10[",no
28,*,*,*,*,*,*,*,no
29,"[30,40[","[0,10000[",secondary,skilled-labor,single,spring,"[0,10[",no
30,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
31,"[40,50[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
32,*,*,*,*,*,*,*,no
33,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
34,"[50,60[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
35,"[50,60[","[0,10000[",secondary,skilled-labor,divorced,spring,"[0,10[",no
36,"[20,30[",<0,secondary,skilled-labor,married,spring,"[0,10[",no
37,"[50,60[",<0,secondary,skilled-labor,married,spring,"[0,10[",no
38,"[30,40[","[0,10000[",secondary,white-collar,divorced,spring,"[0,10[",no
39,"[30,40[","[0,10000[",secondary,white-collar,single,spring,"[0,10[",no
40,"[40,50[","[0,10000[",secondary,skilled-labor,divorced,spring,"[0,10[",no
41,"[50,60[","[0,10000[",secondary,white-collar,married,spring,"[0,10[",no
42,*,*,*,*,*,*,*,no
43,"[50,60[","[0,10000[",secondary,out-of-work,married,spring,"[0,10[",no
44,*,*,*,*,*,*,*,no
45,*,*,*,*,*,*,*,no
46,*,*,*,*,*,*,*,no
47,"[40,50[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
48,"[50,60[","[0,10000[",secondary,skilled-labor,divorced,spring,"[0,10[",no
49,"[20,30[","[0,10000[",tertiary,white-collar,single,spring,"[0,10[",no
50,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
51,*,*,*,*,*,*,*,no
52,"[30,40[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
53,*,*,*,*,*,*,*,no
54,"[20,30[",<0,secondary,skilled-labor,single,spring,"[0,10[",no
55,"[30,40[","[0,10000[",tertiary,self-directed,single,spring,"[0,10[",no
56,"[30,40[","[0,10000[",tertiary,white-collar,single,spring,"[0,10[",no
57,"[40,50[","[0,10000[",unknown,skilled-labor,married,spring,"[0,10[",no
58,*,*,*,*,*,*,*,no
59,"[40,50[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
60,"[30,40[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
61,"[50,60[","[0,10000[",secondary,skilled-labor,divorced,spring,"[0,10[",no
62,"[50,60[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
63,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
64,"[40,50[","[0,10000[",unknown,skilled-labor,married,spring,"[0,10[",no
65,"[50,60[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
66,*,*,*,*,*,*,*,no
67,"[50,60[","[0,10000[",tertiary,white-collar,divorced,spring,"[0,10[",no
68,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
69,*,*,*,*,*,*,*,no
70,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
71,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
72,"[50,60[","[0,10000[",secondary,white-collar,married,spring,"[0,10[",no
73,"[50,60[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
74,"[40,50[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
75,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
76,"[40,50[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
77,"[50,60[","[0,10000[",secondary,skilled-labor,divorced,spring,"[0,10[",no
78,"[40,50[","[0,10000[",secondary,skilled-labor,divorced,spring,"[0,10[",no
79,"[50,60[","[0,10000[",secondary,skilled-labor,divorced,spring,"[0,10[",no
80,"[40,50[","[0,10000[",secondary,white-collar,single,spring,"[0,10[",no
81,"[40,50[","[0,10000[",secondary,skilled-labor,divorced,spring,"[0,10[",no
82,"[40,50[","[0,10000[",secondary,skilled-labor,single,spring,"[0,10[",no
83,"[50,60[","[0,10000[",secondary,white-collar,married,spring,"[0,10[",yes
84,"[40,50[","[0,10000[",tertiary,self-directed,married,spring,"[0,10[",no
85,"[50,60[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
86,"[50,60[","[0,10000[",secondary,white-collar,married,spring,"[0,10[",yes
87,"[40,50[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",yes
88,"[40,50[","[0,10000[",secondary,white-collar,divorced,spring,"[0,10[",no
89,"[50,60[","[0,10000[",secondary,out-of-work,married,spring,"[0,10[",no
90,"[40,50[","[0,10000[",secondary,white-collar,single,spring,"[0,10[",no
91,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
92,*,*,*,*,*,*,*,no
93,*,*,*,*,*,*,*,no
94,*,*,*,*,*,*,*,no
95,"[30,40[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
96,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
97,*,*,*,*,*,*,*,no
98,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
99,"[40,50[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
100,"[40,50[",<0,secondary,skilled-labor,married,spring,"[0,10[",no
101,"[50,60[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
102,"[50,60[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
103,"[50,60[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
104,"[20,30[","[0,10000[",tertiary,skilled-labor,single,spring,"[0,10[",no
105,"[40,50[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
106,"[40,50[","[0,10000[",tertiary,skilled-labor,married,spring,"[0,10[",no
107,"[30,40[","[0,10000[",secondary,white-collar,married,spring,"[0,10[",no
108,*,*,*,*,*,*,*,no
109,"[40,50[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
110,*,*,*,*,*,*,*,no
111,"[40,50[","[0,10000[",secondary,skilled-labor,divorced,spring,"[0,10[",no
112,*,*,*,*,*,*,*,no
113,"[30,40[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
114,*,*,*,*,*,*,*,no
115,"[40,50[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
116,"[40,50[","[0,10000[",secondary,white-collar,married,spring,"[0,10[",no
117,"[30,40[",<0,tertiary,white-collar,single,spring,"[0,10[",no
118,"[50,60[","[0,10000[",tertiary,white-collar,divorced,spring,"[0,10[",no
119,"[50,60[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
120,*,*,*,*,*,*,*,no
121,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
122,*,*,*,*,*,*,*,no
123,"[40,50[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
124,"[50,60[","[0,10000[",tertiary,skilled-labor,married,spring,"[0,10[",no
125,"[30,40[","[0,10000[",secondary,skilled-labor,single,spring,"[0,10[",no
126,"[20,30[","[0,10000[",secondary,white-collar,single,spring,"[0,10[",no
127,"[30,40[",<0,secondary,skilled-labor,married,spring,"[0,10[",no
128,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
129,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",yes
130,*,*,*,*,*,*,*,no
131,"[30,40[","[0,10000[",secondary,white-collar,single,spring,"[0,10[",no
132,"[30,40[","[0,10000[",secondary,skilled-labor,single,spring,"[0,10[",no
133,"[50,60[","[0,10000[",secondary,white-collar,single,spring,"[0,10[",no
134,"[20,30[","[0,10000[",tertiary,out-of-work,single,spring,"[0,10[",no
135,"[20,30[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
136,"[30,40[","[0,10000[",secondary,skilled-labor,single,spring,"[0,10[",no
137,*,*,*,*,*,*,*,no
138,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
139,"[40,50[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
140,"[50,60[","[0,10000[",primary,skilled-labor,divorced,spring,"[0,10[",no
141,"[30,40[","[0,10000[",secondary,self-directed,single,spring,"[0,10[",no
142,*,*,*,*,*,*,*,no
143,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
144,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
145,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
146,"[50,60[","[0,10000[",primary,skilled-labor,divorced,spring,"[0,10[",no
147,"[40,50[","[0,10000[",secondary,out-of-work,married,spring,"[0,10[",no
148,"[40,50[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
149,"[50,60[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
150,*,*,*,*,*,*,*,no
151,"[20,30[","[0,10000[",secondary,out-of-work,single,spring,"[0,10[",no
152,*,*,*,*,*,*,*,no
153,"[30,40[","[0,10000[",secondary,white-collar,married,spring,"[0,10[",no
154,"[50,60[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
155,"[40,50[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
156,"[50,60[","[0,10000[",unknown,skilled-labor,married,spring,"[0,10[",no
157,*,*,*,*,*,*,*,no
158,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
159,"[40,50[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
160,"[40,50[","[0,10000[",unknown,skilled-labor,married,spring,"[0,10[",no
161,"[30,40[","[0,10000[",tertiary,skilled-labor,single,spring,"[0,10[",no
162,"[40,50[","[0,10000[",secondary,skilled-labor,single,spring,"[0,10[",no
163,"[40,50[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
164,"[40,50[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
165,"[20,30[","[0,10000[",secondary,white-collar,single,spring,"[0,10[",no
166,"[50,60[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
167,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
168,"[50,60[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",yes
169,"[50,60[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
170,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
171,"[40,50[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
172,*,*,*,*,*,*,*,no
173,*,*,*,*,*,*,*,no
174,*,*,*,*,*,*,*,no
175,"[50,60[","[0,10000[",secondary,white-collar,divorced,spring,"[0,10[",no
176,"[40,50[","[0,10000[",secondary,out-of-work,married,spring,"[0,10[",no
177,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
178,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
179,"[50,60[","[0,10000[",secondary,white-collar,married,spring,"[0,10[",no
180,"[30,40[","[0,10000[",tertiary,skilled-labor,married,spring,"[0,10[",no
181,"[30,40[","[0,10000[",secondary,skilled-labor,divorced,spring,"[0,10[",no
182,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
183,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
184,"[30,40[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
185,"[50,60[","[0,10000[",primary,out-of-work,married,spring,"[0,10[",no
186,*,*,*,*,*,*,*,no
187,"[50,60[","[0,10000[",secondary,white-collar,married,spring,"[0,10[",no
188,"[30,40[","[0,10000[",secondary,skilled-labor,single,spring,"[0,10[",no
189,"[30,40[","[0,10000[",tertiary,white-collar,single,spring,"[0,10[",no
190,"[50,60[","[0,10000[",secondary,out-of-work,married,spring,"[0,10[",no
191,"[30,40[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
192,"[50,60[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
193,"[40,50[","[0,10000[",secondary,white-collar,married,spring,"[0,10[",no
194,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
195,"[30,40[","[0,10000[",secondary,skilled-labor,single,spring,"[0,10[",no
196,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
197,*,*,*,*,*,*,*,no
198,"[40,50[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
199,*,*,*,*,*,*,*,no
200,"[40,50[","[0,10000[",secondary,white-collar,married,spring,"[0,10[",no
201,"[40,50[","[0,10000[",tertiary,self-directed,married,spring,"[0,10[",no
202,"[40,50[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
203,*,*,*,*,*,*,*,no
204,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
205,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
206,"[40,50[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
207,"[40,50[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
208,"[30,40[","[0,10000[",unknown,skilled-labor,single,spring,"[0,10[",no
209,"[40,50[","[0,10000[",secondary,out-of-work,married,spring,"[0,10[",no
210,"[30,40[",<0,secondary,skilled-labor,married,spring,"[0,10[",no
211,"[50,60[","[0,10000[",secondary,out-of-work,married,spring,"[0,10[",no
212,"[50,60[","[0,10000[",primary,skilled-labor,divorced,spring,"[0,10[",no
213,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
214,*,*,*,*,*,*,*,no
215,"[40,50[","[0,10000[",tertiary,skilled-labor,married,spring,"[0,10[",no
216,*,*,*,*,*,*,*,no
217,*,*,*,*,*,*,*,no
218,"[40,50[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
219,"[30,40[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
220,"[40,50[","[0,10000[",secondary,out-of-work,married,spring,"[0,10[",no
221,"[20,30[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
222,*,*,*,*,*,*,*,no
223,"[50,60[","[0,10000[",secondary,out-of-work,married,spring,"[0,10[",no
224,*,*,*,*,*,*,*,no
225,"[40,50[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
226,*,*,*,*,*,*,*,no
227,"[30,40[","[0,10000[",tertiary,white-collar,single,spring,"[0,10[",no
228,"[30,40[","[0,10000[",unknown,skilled-labor,married,spring,"[0,10[",no
229,"[50,60[","[0,10000[",secondary,skilled-labor,divorced,spring,"[0,10[",no
230,"[40,50[",<0,primary,skilled-labor,married,spring,"[0,10[",no
231,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
232,"[50,60[","[0,10000[",secondary,self-directed,married,spring,"[0,10[",no
233,"[50,60[","[0,10000[",unknown,skilled-labor,married,spring,"[0,10[",no
234,"[50,60[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
235,"[40,50[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
236,"[50,60[","[0,10000[",secondary,white-collar,divorced,spring,"[0,10[",no
237,"[30,40[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
238,"[40,50[","[0,10000[",secondary,white-collar,divorced,spring,"[0,10[",no
239,*,*,*,*,*,*,*,no
240,"[40,50[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
241,*,*,*,*,*,*,*,no
242,"[30,40[","[0,10000[",secondary,white-collar,married,spring,"[0,10[",no
243,"[40,50[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
244,"[40,50[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
245,*,*,*,*,*,*,*,no
246,"[20,30[","[0,10000[",secondary,skilled-labor,single,spring,"[0,10[",no
247,"[40,50[","[0,10000[",tertiary,white-collar,married,spring,"[0,10[",no
248,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
249,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
250,"[40,50[","[0,10000[",secondary,white-collar,married,spring,"[0,10[",no
251,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
252,"[30,40[","[0,10000[",secondary,skilled-labor,single,spring,"[0,10[",no
253,"[30,40[","[0,10000[",secondary,skilled-labor,divorced,spring,"[0,10[",no
254,"[50,60[","[0,10000[",tertiary,white-collar,single,spring,"[0,10[",no
255,"[30,40[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
256,*,*,*,*,*,*,*,no
257,"[30,40[","[0,10000[",secondary,skilled-labor,single,spring,"[0,10[",no
258,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
259,"[40,50[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
260,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
261,"[30,40[","[0,10000[",tertiary,white-collar,single,spring,"[0,10[",no
262,"[30,40[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
263,"[40,50[","[0,10000[",tertiary,white-collar,divorced,spring,"[0,10[",no
264,"[40,50[","[0,10000[",primary,self-directed,married,spring,"[0,10[",no
265,"[30,40[","[0,10000[",tertiary,out-of-work,single,spring,"[0,10[",no
266,"[30,40[","[0,10000[",tertiary,white-collar,single,spring,"[0,10[",no
267,*,*,*,*,*,*,*,no
268,"[40,50[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
269,"[40,50[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
270,"[40,50[","[0,10000[",tertiary,white-collar,single,spring,"[0,10[",yes
271,"[40,50[","[0,10000[",primary,skilled-labor,divorced,spring,"[0,10[",no
272,"[50,60[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
273,*,*,*,*,*,*,*,no
274,"[30,40[","[0,10000[",secondary,white-collar,married,spring,"[0,10[",no
275,"[50,60[","[0,10000[",secondary,out-of-work,married,spring,"[0,10[",no
276,"[30,40[",<0,secondary,skilled-labor,divorced,spring,"[0,10[",no
277,"[40,50[","[0,10000[",secondary,skilled-labor,married,spring,"[0,10[",no
278,"[30,40[","[0,10000[",secondary,skilled-labor,single,spring,"[0,10[",no
279,"[30,40[","[0,10000[",tertiary,self-directed,married,spring,"[0,10[",no
280,"[50,60[","[0,10000[",primary,skilled-labor,married,spring,"[0,10[",no
281,"[40,50[",<0,secondary,white-collar,married,spring,"[0,10[",no
282,"[50,60[","[0,10000[",tertiary,skilled-labor,married,spring,"[0,10[",no
