index,age,workclass,education,marital_status,occupation,sex,income
0,"[30, 40[",State-gov,Undergraduate,Never-married,Other,Male,<=50K
1,"[50, 60[",Self-emp-not-inc,Undergraduate,Married-civ-spouse,Nontechnical,Male,<=50K
2,"[30, 40[",Private,High School,Divorced,Nontechnical,Male,<=50K
3,"[50, 60[",Private,High School,Married-civ-spouse,Nontechnical,Male,<=50K
4,"[20, 30[",Private,Undergraduate,Married-civ-spouse,Technical,Female,<=50K
5,*,*,*,*,*,*,<=50K
6,"[40, 50[",Private,High School,Married-spouse-absent,Other,Female,<=50K
7,"[50, 60[",Self-emp-not-inc,High School,Married-civ-spouse,Nontechnical,Male,>50K
8,"[30, 40[",Private,Graduate,Never-married,Technical,Female,>50K
9,"[40, 50[",Private,Undergraduate,Married-civ-spouse,Nontechnical,Male,>50K
10,"[30, 40[",Private,Undergraduate,Married-civ-spouse,Nontechnical,Male,>50K
11,"[30, 40[",State-gov,Undergraduate,Married-civ-spouse,Technical,Male,>50K
12,"[20, 30[",Private,Undergraduate,Never-married,Other,Female,<=50K
13,"[30, 40[",Private,Professional Education,Never-married,Nontechnical,Male,<=50K
14,"[40, 50[",Private,Professional Education,Married-civ-spouse,Technical,Male,>50K
15,"[30, 40[",Private,High School,Married-civ-spouse,Other,Male,<=50K
16,"[20, 30[",Self-emp-not-inc,High School,Never-married,Other,Male,<=50K
17,"[30, 40[",Private,High School,Never-married,Technical,Male,<=50K
18,"[30, 40[",Private,High School,Married-civ-spouse,Nontechnical,Male,<=50K
19,*,*,*,*,*,*,>50K
20,"[40, 50[",Private,Graduate,Married-civ-spouse,Technical,Male,>50K
21,"[50, 60[",Private,High School,Separated,Other,Female,<=50K
22,"[30, 40[",Federal-gov,High School,Married-civ-spouse,Other,Male,<=50K
23,"[40, 50[",Private,High School,Married-civ-spouse,Other,Male,<=50K
24,"[50, 60[",Private,High School,Divorced,Technical,Female,<=50K
25,"[50, 60[",Local-gov,Undergraduate,Married-civ-spouse,Technical,Male,>50K
26,"[10, 20[",Private,High School,Never-married,Technical,Male,<=50K
27,"[30, 40[",Private,High School,Divorced,Nontechnical,Male,<=50K
