level_0,index,age,workclass,education,marital_status,occupation,sex,income
1,1,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
2,2,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
3,3,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
6,6,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
7,7,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
8,8,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,>50K
9,9,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
10,10,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
12,12,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
13,13,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
14,14,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
15,15,"[0, 40[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
16,16,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
17,17,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
18,18,"[0, 40[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
19,19,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,>50K
20,20,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
21,21,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
23,23,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
24,24,"[40, 80[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
25,25,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
26,26,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
27,27,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
28,28,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
30,30,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
31,31,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
34,34,"[40, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
35,35,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
37,37,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
38,38,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
39,39,"[0, 40[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
40,40,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
41,41,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
42,42,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
43,43,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
44,44,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
45,45,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
46,46,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
47,47,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,<=50K
48,48,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
50,50,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
54,54,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
56,56,"[0, 40[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
57,57,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
58,58,"[0, 40[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
59,59,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
60,60,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
61,61,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
62,62,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
63,63,"[0, 40[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
64,64,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
66,66,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
67,67,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
68,68,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
69,69,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
70,70,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
71,71,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
72,72,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
73,73,"[40, 80[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
74,74,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
76,76,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
77,77,"[40, 80[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
79,79,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
80,80,"[40, 80[",Non-Government,Secondary education,Spouse not present,Technical,Female,>50K
