level_0,index,age,workclass,education,marital_status,occupation,sex,income
0,0,"[35, 40[",State-gov,Bachelors,Never-married,Adm-clerical,Male,<=50K
1,1,"[50, 55[",Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,<=50K
2,2,"[35, 40[",Private,HS-grad,Divorced,Handlers-cleaners,Male,<=50K
3,3,"[50, 55[",Private,11th,Married-civ-spouse,Handlers-cleaners,Male,<=50K
4,4,"[25, 30[",Private,Bachelors,Married-civ-spouse,Prof-specialty,Female,<=50K
5,5,"[35, 40[",Private,Masters,Married-civ-spouse,Exec-managerial,Female,<=50K
7,7,"[50, 55[",Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Male,>50K
8,8,"[30, 35[",Private,Masters,Never-married,Prof-specialty,Female,>50K
9,9,"[40, 45[",Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,>50K
10,10,"[35, 40[",Private,Some-college,Married-civ-spouse,Exec-managerial,Male,>50K
11,11,"[30, 35[",State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Male,>50K
12,12,"[20, 25[",Private,Bachelors,Never-married,Adm-clerical,Female,<=50K
13,13,"[30, 35[",Private,Assoc-acdm,Never-married,Sales,Male,<=50K
14,14,"[40, 45[",Private,Assoc-voc,Married-civ-spouse,Craft-repair,Male,>50K
15,15,"[30, 35[",Private,7th-8th,Married-civ-spouse,Transport-moving,Male,<=50K
16,16,"[25, 30[",Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Male,<=50K
17,17,"[30, 35[",Private,HS-grad,Never-married,Machine-op-inspct,Male,<=50K
18,18,"[35, 40[",Private,11th,Married-civ-spouse,Sales,Male,<=50K
19,19,"[40, 45[",Self-emp-not-inc,Masters,Divorced,Exec-managerial,Female,>50K
20,20,"[40, 45[",Private,Doctorate,Married-civ-spouse,Prof-specialty,Male,>50K
21,21,"[50, 55[",Private,HS-grad,Separated,Other-service,Female,<=50K
23,23,"[40, 45[",Private,11th,Married-civ-spouse,Transport-moving,Male,<=50K
24,24,"[55, 60[",Private,HS-grad,Divorced,Tech-support,Female,<=50K
26,26,"[15, 20[",Private,HS-grad,Never-married,Craft-repair,Male,<=50K
27,27,"[35, 40[",Private,HS-grad,Divorced,Exec-managerial,Male,<=50K
28,28,"[45, 50[",Private,HS-grad,Married-civ-spouse,Craft-repair,Male,<=50K
30,30,"[20, 25[",Private,Some-college,Never-married,Sales,Male,<=50K
31,31,"[45, 50[",Private,Bachelors,Divorced,Exec-managerial,Male,<=50K
32,32,"[30, 35[",Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Male,<=50K
33,33,"[20, 25[",State-gov,Some-college,Married-civ-spouse,Other-service,Male,<=50K
35,35,"[20, 25[",Private,Some-college,Never-married,Machine-op-inspct,Male,<=50K
37,37,"[30, 35[",Private,Some-college,Married-civ-spouse,Sales,Male,>50K
39,39,"[30, 35[",Private,9th,Married-civ-spouse,Machine-op-inspct,Male,<=50K
40,40,"[50, 55[",Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Male,<=50K
42,42,"[45, 50[",Private,HS-grad,Separated,Adm-clerical,Female,<=50K
43,43,"[25, 30[",Private,HS-grad,Never-married,Handlers-cleaners,Male,<=50K
44,44,"[55, 60[",Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Male,>50K
45,45,"[50, 55[",Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,<=50K
46,46,"[40, 45[",Private,Masters,Divorced,Exec-managerial,Female,<=50K
47,47,"[40, 45[",State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Male,<=50K
48,48,"[25, 30[",Private,Assoc-voc,Never-married,Prof-specialty,Male,<=50K
